"cig","Log(smass)","esmass","SFR12","eSFR12","SFR22","eSFR22"
"4","10.508","0.097","3.855","1.335","3.060","1.201"
"11","9.779","0.101","1.033","0.360","0.703","0.281"
"31","9.863","0.117","0.486","0.170","0.291","0.122"
"33","10.345","0.100","4.416","1.533","3.333","1.311"
"39","9.583","0.103","0.291","0.101","0.174","0.070"
"53","10.324","0.100","1.001","0.347","0.798","0.315"
"62","10.181","0.100","6.347","2.198","6.443","2.528"
"64","9.200","0.128","0.077","0.029","0.073","0.035"
"80","10.883","0.097","5.384","1.865","3.575","1.404"
"85","9.364","0.128","0.164","0.058","0.203","0.084"
"94","10.027","0.101","1.028","0.357","0.789","0.317"
"96","10.219","0.097","1.771","0.614","1.427","0.560"
"103","9.989","0.097","0.832","0.290","0.504","0.198"
"125","11.184","0.100","1.385","0.486","0.704","0.289"
"135","10.674","0.100","2.730","0.954","1.639","0.650"
"147","10.836","0.097","9.937","3.460","8.694","3.413"
"152","9.519","0.111","0.090","0.033","0.024","0.011"
"159","10.872","0.097","5.040","1.751","4.173","1.641"
"168","10.437","0.097","2.870","0.994","2.295","0.901"
"188","9.984","0.101","0.389","0.137","0.232","0.095"
"222","10.678","0.101","1.971","0.685","1.643","0.656"
"232","10.578","0.097","14.045","4.864","15.702","6.161"
"236","10.809","0.101","3.546","1.232","3.314","1.329"
"242","9.370","0.129","0.343","0.121","0.239","0.107"
"250","9.662","0.101","0.403","0.140","0.447","0.176"
"260","10.507","0.101","2.056","0.716","1.496","0.600"
"268","9.819","0.161","0.001",NULL,"0.028",NULL
"279","9.559","0.099","0.446","0.154","0.363","0.143"
"281","10.555","0.100","2.408","0.834","1.779","0.700"
"290","9.149","0.121","0.040","0.015","0.012",NULL
"291","9.444","0.111","0.602","0.216","0.314","0.128"
"293","9.135","0.151","0.027","0.011","0.052","0.028"
"298","11.235","0.098","4.161","1.453","1.969","0.784"
"299","9.205","0.116","0.063","0.023","0.055","0.028"
"317","9.250","0.107","0.152","0.054","0.137","0.056"
"335","10.182","0.097","1.518","0.526","1.007","0.396"
"339","10.671","0.101","8.553","2.964","10.461","4.114"
"340","10.541","0.100","2.600","0.901","1.730","0.686"
"361","10.973","0.100","13.202","4.574","10.668","4.189"
"367","10.304","0.111","1.134","0.395","0.789","0.346"
"382","10.037","0.101","0.705","0.244","0.475","0.188"
"407","8.618","0.104","0.030","0.011","0.065","0.027"
"416","9.581","0.101","0.553","0.192","0.402","0.159"
"461","10.547","0.097","4.081","1.413","2.773","1.088"
"463","9.831","0.101","0.468","0.163","0.382","0.157"
"492","10.609","0.100","1.608","0.558","1.135","0.460"
"496","9.530","0.101","0.272","0.095","0.238","0.095"
"502","9.748","0.117","0.044","0.018","0.087","0.045"
"505","9.622","0.111","0.453","0.158","0.321","0.133"
"509","9.733","0.101","0.336","0.117","0.206","0.083"
"512","9.799","0.104","0.529","0.185","0.324","0.132"
"527","10.453","0.097","3.213","1.113","2.470","0.970"
"551","9.620","0.109","0.229","0.081","0.226","0.094"
"553","10.963","0.100","8.131","2.819","12.604","4.956"
"566","9.124","0.201","0.006",NULL,"0.016",NULL
"568","10.982","0.101","7.982","2.766","5.290","2.095"
"569","8.940","0.110","0.055","0.020","0.080","0.032"
