,recno,HIPASS,RAJ2000,DEJ2000,TType,Dist,r_Dist,OMatch,VelHI,Spk,Sint,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,f_W3mag,e_W3mag,W4mag,e_W4mag,f_W4mag,R1iso,R2iso,R3iso,R4iso,ba,PA,W1-W2,e_W1-W2,W2-W3,e_W2-W3,W1-W2c,W2-W3c,logLW1,e_logLW1,logLW2,e_logLW2,logLW3,e_logLW3,logLW4,e_logLW4,logLW1in,e_logLW1in,W1flux,W2flux,w3PaH,w4dust,logM*,e_logM*,logMHI,e_logMHI,logSFR,e_logSFR,logSFE,e_logSFE,T16
0,2321,J1500+01,225.00177,1.89124,3.0,28.96,0,1,1339.7,0.0461,12.9,8.09,0.01,8.02,0.02,5.09,10.0,0.02,3.33,0.02,10.0,164.71,131.16,93.78,93.78,0.615,167.1,0.07,0.02,2.86,0.02,0.07,2.89,9.609,0.01,9.241,0.012,9.18,0.02,9.08,0.01,10.97,0.01,173.79,102.14,221.87,347.4,10.62,0.1,9.4,0.06,0.21,0.07,-9.19,0.09,1
1,2341,J1507+01,226.78209,1.54419,3.0,39.53,1,1,2551.0,0.0966,17.2,7.8,0.01,7.84,0.02,5.35,10.0,0.04,3.85,0.08,10.0,181.1,150.24,150.24,150.24,0.829,168.9,-0.04,0.02,2.38,0.02,-0.04,2.53,9.996,0.01,9.583,0.012,9.34,0.03,9.16,0.03,11.36,0.01,227.11,120.59,174.14,225.7,11.29,0.1,9.8,0.05,0.34,0.07,-9.45,0.09,0
2,1,J0000-40,0.12283,-40.48444,4.0,42.14,1,1,3167.9,0.0664,12.0,11.28,0.01,11.31,0.02,8.45,10.0,0.05,6.14,0.08,10.0,63.88,,,,0.363,153.4,-0.03,0.02,2.78,0.03,-0.03,2.89,8.657,0.01,8.248,0.012,8.18,0.03,8.31,0.03,10.02,0.01,9.15,4.91,10.51,28.12,9.92,0.1,9.7,0.06,-0.57,0.06,-10.27,0.09,0
3,19,J0011-36,2.90451,-36.93702,6.8,24.15,1,2,1936.8,0.0936,11.6,12.99,0.02,13.08,0.06,11.05,0.0,0.26,8.76,0.7,0.0,56.79,,,,0.449,164.7,-0.09,0.06,2.04,0.26,-0.1,2.05,7.492,0.012,7.057,0.025,6.57,0.11,,,8.85,0.02,1.91,0.96,0.78,,8.81,0.18,9.2,0.06,-1.84,0.1,-11.04,0.12,0
4,24,J0014-35,3.53461,-35.61331,,43.62,1,1,3287.0,0.0453,5.1,13.38,0.02,13.43,0.05,10.41,10.0,0.17,10.08,0.66,0.0,28.45,,,,0.44,17.8,-0.04,0.04,1.63,0.16,-0.05,3.02,7.844,0.012,7.429,0.021,7.42,0.07,,,9.2,0.02,1.31,0.69,1.7,,9.15,0.15,9.35,0.1,-1.17,0.07,-10.52,0.12,0
5,3145,J2349-37,357.35156,-37.77407,10.0,5.54,1,1,647.2,0.1576,13.7,13.18,0.03,13.24,0.13,,,,,,,61.09,17.14,0.0,0.0,0.411,88.0,-0.06,0.13,,,-0.07,,6.142,0.014,5.719,0.054,,,,,7.5,0.02,1.62,0.84,,,7.46,0.35,7.99,0.06,,,,,0
6,3157,J2357-32,359.45728,-32.59102,6.0,3.87,0,1,226.8,1.7636,280.5,6.52,0.01,6.43,0.02,3.21,10.0,0.01,1.55,0.02,10.0,336.27,336.27,336.27,336.27,0.617,97.9,0.09,0.02,3.21,0.02,0.09,3.26,8.505,0.01,8.144,0.012,8.24,0.01,8.08,0.01,9.86,0.01,765.09,458.07,1444.95,1946.59,9.47,0.1,8.99,0.01,-0.52,0.05,-9.52,0.06,1
7,46,J0026-33,6.69315,-33.67722,4.0,30.91,0,1,1828.4,0.1121,17.9,10.9,0.01,10.86,0.02,8.11,10.0,0.07,6.01,0.09,0.0,78.83,64.45,64.45,64.45,0.387,119.2,0.04,0.02,2.52,0.04,0.04,2.72,8.541,0.01,8.161,0.012,8.02,0.03,8.07,0.04,9.9,0.01,13.04,7.47,13.58,30.02,9.62,0.1,9.6,0.05,-0.7,0.06,-10.3,0.08,1
8,53,J0030-33,7.5915,-33.24401,4.0,20.6,0,1,1588.9,0.4754,143.2,6.6,0.01,6.48,0.02,2.93,10.0,0.01,1.21,0.01,10.0,283.14,283.14,283.14,283.14,0.332,48.6,0.12,0.02,3.52,0.02,0.12,3.56,9.914,0.01,9.566,0.012,9.79,0.01,9.65,0.01,11.27,0.01,691.84,426.26,1812.08,2580.4,10.8,0.1,10.15,0.02,0.7,0.08,-9.45,0.08,1
9,43,J0024-32,5.97756,-32.53619,5.0,44.84,1,1,3378.5,0.0964,13.7,10.19,0.01,10.16,0.02,6.8,10.0,0.03,5.12,0.06,10.0,70.0,,,,0.897,79.6,0.02,0.02,3.27,0.02,0.02,3.33,9.146,0.01,8.759,0.012,8.89,0.02,8.8,0.03,10.51,0.01,24.95,14.03,47.38,76.27,10.28,0.1,9.81,0.06,-0.01,0.06,-9.82,0.09,0
10,64,J0033-32,8.28052,-32.25836,0.0,21.12,1,1,1736.9,0.0716,6.2,9.78,0.01,9.65,0.02,5.84,10.0,0.02,4.01,0.03,10.0,60.54,49.63,49.63,49.63,0.722,18.6,0.13,0.02,3.76,0.02,0.13,3.78,8.664,0.01,8.319,0.012,8.64,0.01,8.53,0.01,10.02,0.01,37.02,23.0,121.67,186.47,9.52,0.1,8.81,0.09,-0.21,0.06,-9.02,0.11,0
11,68,J0034-30a,8.54545,-30.77438,9.2,18.83,1,1,1582.3,0.2896,17.4,11.82,0.02,11.76,0.04,11.82,0.0,0.19,9.64,0.54,0.0,62.12,43.24,8.27,12.0,0.708,92.6,0.05,0.03,-0.05,0.19,0.05,-0.05,7.75,0.011,7.374,0.017,,,,,9.11,0.01,5.68,3.28,,,8.81,0.13,9.16,0.05,,,,,0
