,recno,HCG,m_HCG,RAB1950,DEB1950,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
0,1,1,a,5.874666666666666,25.448305555555553,37.6,26.9,Sc,7,m,10237,39,0,15.02,0,55.0,13.33,2,87.7,1.29,14.87,14.43,0.2,-20.6,U248a
1,2,1,b,5.8698749999999995,25.44219444444444,42.8,10.7,Im,12,m,10266,40,0,15.68,0,32.5,13.85,2,65.7,1.36,15.96,15.04,0.1,-20.0,U248b
2,3,1,c,5.822041666666666,25.446555555555552,10.7,10.7,E0,0,,10056,34,0,10.21,0,23.8,14.15,0,51.6,1.69,15.89,15.57,0.1,-19.5,
3,4,1,d,5.840249999999999,25.448166666666662,8.5,4.8,S0,1,,10120,47,0,17.4,0,12.0,15.77,0,13.9,1.6,16.92,16.5,0.2,-18.5,
4,5,2,a,7.203541666666665,8.19222222222222,40.5,19.7,SBd,9,m,4326,30,0,14.02,0,60.7,13.1,0,67.5,0.88,13.84,13.35,0.1,,U312
5,6,2,b,7.182249999999999,8.199166666666665,21.2,18.4,cI,13,m,4366,34,0,14.62,0,37.6,13.4,0,50.5,1.14,14.63,14.39,0.1,,Mk552 MCG1-2-18
6,7,2,c,7.226333333333332,8.124694444444444,32.9,18.1,SBc,7,m,4235,34,0,15.14,0,48.9,13.97,0,55.4,1.1,14.6,14.15,0.1,,U314
7,8,2,d,7.263791666666665,8.114749999999999,13.2,12.0,SBb,5,,21340,85,0,16.74,0,24.7,15.12,0,28.6,1.54,16.0,15.72,0.2,,U315
8,9,3,a,7.919583333333332,-7.840388888888888,26.6,8.0,Sc,7,,7302,51,0,15.6,0,30.8,14.11,0,39.3,1.41,15.36,14.72,0.1,,
9,10,3,b,7.969208333333333,-7.8752499999999985,15.4,9.6,SB0a,2,,7860,45,0,15.76,0,24.4,14.0,0,31.7,1.71,15.64,15.28,0.1,,
10,11,3,c,7.948124999999999,-7.875777777777777,23.7,6.4,Sd,9,,11545,68,1,16.75,0,19.8,15.27,0,26.2,1.37,16.54,15.87,0.1,,
11,12,3,d,7.905541666666665,-7.877749999999999,13.1,9.7,S0,1,,7804,30,0,15.98,0,20.1,14.15,0,34.7,1.69,15.91,15.64,0.1,,
12,13,4,a,7.932041666666666,-21.714138888888886,41.1,33.5,Sc,7,m,8097,36,0,13.8,0,67.5,12.71,0,75.2,1.01,13.78,13.5,0.1,-21.1,
13,14,4,b,7.933999999999999,-21.745777777777775,24.2,9.1,Sc,7,,7065,44,0,15.7,0,30.9,14.62,0,34.0,1.03,15.52,14.97,0.2,-19.3,
14,15,4,c,7.940083333333332,-21.693388888888887,12.8,10.0,E2,0,m,8863,74,1,16.11,0,24.4,14.45,0,37.3,1.51,15.9,15.69,0.1,-19.1,
15,16,4,d,7.944874999999999,-21.753194444444443,12.7,7.4,E4,0,m,8215,37,0,16.12,0,20.5,14.86,0,26.4,1.19,15.68,15.47,0.1,-19.1,
16,17,4,e,7.909874999999999,-21.711416666666665,12.9,9.4,Sab,4,,18480,180,1,16.61,0,19.0,15.26,0,21.3,1.31,16.37,16.05,0.1,,
17,18,5,a,9.081708333333331,6.7879444444444434,24.4,24.3,Sab,4,m,12147,34,0,15.08,1,43.5,13.39,1,62.4,1.58,14.79,14.55,0.2,-20.7,N190N U397a
18,19,5,b,9.08175,6.781416666666666,17.9,17.5,E0,0,m,12221,29,0,15.99,1,28.2,13.7,1,49.2,2.03,15.76,15.52,0.2,-19.9,N1905 U397b
19,20,5,c,9.073833333333333,6.797999999999999,15.1,13.4,S0,1,,12489,47,0,16.72,1,21.7,13.77,1,39.1,1.72,16.52,16.26,0.2,-19.2,
20,21,5,d,9.082916666666666,6.773305555555555,12.3,5.0,Sc,7,,8215,37,1,17.3,1,17.2,15.49,1,27.4,1.68,17.27,16.72,0.2,-18.7,
21,22,6,a,9.173749999999998,-8.668805555555554,14.3,7.3,S0a,2,,11669,52,1,15.87,1,25.2,13.94,1,44.2,1.62,15.69,15.27,0.2,-20.1,
