,cig,PHOT_EXTINCTION_INT,PHOT_EXTINCTION_INT_decimal,PHOT_K_CORRECTION,PHOT_K_CORRECTION_decimal,BTC,BTC_decimal,PHYS_DISTANCE,PHYS_DISTANCE_decimal,PHYS_LUMINOSITY_B,PHYS_LUMINOSITY_B_decimal,POS_INCLIN_LOS,POS_INCLIN_LOS_decimal,ANG_SIZE_MAJ,ANG_SIZE_MAJ_decimal,ANG_SIZE_MIN,ANG_SIZE_MIN_decimal,PHYS_SIZE_MAJ,PHYS_SIZE_MAJ_decimal,PHYS_SIZE_MIN,PHYS_SIZE_MIN_decimal,SGA_ID,RA,DEC,G_MAG_SB26,G_MAG_SB26_ERR,R_MAG_SB26,R_MAG_SB26_ERR,Z_MAG_SB26,Z_MAG_SB26_ERR
0,1,0.571,0.5706,0.04,0.0401,13.383,13.3833,96.9,96.926,10.57,10.5696,65.1,65.094,1.39,1.393,0.64,0.64,39.3,39.28,18.0,18.037,876918,0.7734794194596856,-1.9138500635233484,13.902252,0.0029139293,13.139115,0.0035390009,12.538939,0.0038498347
1,2,0.278,0.2783,0.031,0.0314,15.157,15.1572,94.7,94.745,9.84,9.8402,46.8,46.816,0.72,0.721,0.5,0.502,19.9,19.874,13.8,13.845,1051760,0.8349404064863382,29.797206556938324,15.050766,0.002526112,14.449351,0.0029038223,14.009352,0.002932911
2,3,0.354,0.354,,,15.457,15.457,,,,,55.1,55.052,0.4,0.402,0.24,0.242,,,,,344211,0.841067652624062,30.781922744152915,15.717956,0.011355461,15.165182,0.011609692,14.768819,0.011165216
3,4,0.863,0.8634,0.017,0.0173,11.685,11.6853,31.9,31.88,10.28,10.2829,90.0,90.0,3.29,3.289,0.73,0.729,30.5,30.496,6.8,6.765,1359702,0.9950601295778089,20.75206483802101,12.433091,0.0018076018,11.550884,0.0017641761,10.799067,0.0019176039
4,5,0.131,0.1307,0.118,0.118,15.128,15.1283,105.9,105.907,9.95,9.9485,75.5,75.468,0.73,0.726,0.32,0.318,22.4,22.369,9.8,9.81,351503,1.9762722470013119,20.412386349047427,15.2987585,0.010686751,14.491721,0.010353282,13.833865,0.0109266825
5,6,0.638,0.6382,0.016,0.0158,14.329,14.3289,61.6,61.623,9.8,9.7979,65.3,65.321,0.7,0.697,0.31,0.308,12.5,12.487,5.5,5.514,114508,2.227691184838502,23.817319285050967,14.847793,0.014737805,14.32492,0.013918058,13.872205,0.012751903
6,7,0.338,0.3384,0.083,0.0829,15.141,15.1407,169.9,169.896,10.35,10.3541,54.0,53.958,0.69,0.692,0.43,0.427,34.2,34.191,21.1,21.082,1165787,2.7764720363854454,2.6779663859306466,14.937806,0.006494254,14.178994,0.008495378,13.605401,0.0114100315
7,8,0.726,0.7258,0.035,0.0349,14.374,14.3743,85.0,85.041,10.06,10.0595,71.7,71.679,0.75,0.752,0.28,0.277,18.6,18.593,6.8,6.845,42439,3.037162674654425,12.045718447656206,15.406018,0.011503792,14.799129,0.012095501,14.339499,0.012758445
8,9,0.637,0.6373,0.047,0.0466,14.742,14.7421,113.0,113.035,10.16,10.1596,68.1,68.066,0.91,0.91,0.38,0.38,29.9,29.918,12.5,12.501,239074,3.159178074005462,5.505402005016058,15.145246,0.010922786,14.471853,0.011283125,13.914277,0.012197994
9,11,0.652,0.6517,0.018,0.0178,13.652,13.6524,52.5,52.468,9.93,9.9288,67.0,66.952,1.57,1.567,0.67,0.665,23.9,23.912,10.2,10.154,1026395,3.6326691636815127,-0.7375420627509306,13.882469,0.004550907,13.364279,0.005437437,12.960308,0.006252263
