,HCG,Name,RA,Dec,Vsys,sep_kpc,sep_norm,D25_am,D25_kpc,flux,logMHIobs,logMHIexp,defHI,OPT_HI,zflag,HIflag,MHIlim_flag
0,91,WISEA J220943.70-273554.8,332.431667,-27.598889,7072.0,372.474,1.341,0.363,9.717,nan,nan,8.999,nan,2,1,0,0
1,91,ESO 467- G 016,332.459167,-27.536667,7372.0,478.406,1.722,0.977,26.153,1949273.760,15.590,9.738,-5.852,2,1,1,0
2,91,ESO 467- G 014,332.298333,-27.408056,7112.5,622.882,2.242,0.398,10.654,nan,nan,9.068,nan,2,1,0,0
3,91,WISEA J220826.32-281307.1,332.109830,-28.218810,8061.0,727.176,2.618,nan,nan,nan,nan,nan,nan,2,1,0,0
4,91,IC 5168,332.190000,-27.856667,4857.0,176.310,0.635,1.318,35.279,2374246.301,15.676,9.962,-5.714,2,1,1,0
5,91,WISEA J220847.29-275114.6,332.190000,-27.856667,4857.0,176.310,0.635,1.318,35.279,2374246.301,15.676,9.962,-5.714,1,0,1,0
6,91,WISEA J220834.52-281601.1,332.144167,-28.267222,4857.0,785.746,2.829,0.437,11.682,2374246.301,15.676,9.962,-5.714,1,0,1,0
7,91,WISEA J221306.53-275716.6,333.291250,-27.938056,4857.0,1434.632,5.165,0.617,16.501,nan,nan,9.394,nan,1,0,0,0
8,91,GALEXASC J220922.12-271623.9,332.345000,-27.304444,4857.0,792.617,2.853,0.479,12.809,nan,nan,9.205,nan,1,0,0,0
9,91,PKS 2210-283,333.403170,-28.062670,4857.0,1631.543,5.873,nan,nan,nan,nan,nan,nan,1,0,0,0
10,91,WISEA J221040.40-274144.2,332.668333,-27.696389,4857.0,556.207,2.002,0.479,12.809,nan,nan,nan,nan,1,0,0,0
11,91,WISEA J220659.01-271620.4,331.746250,-27.272222,4857.0,1146.395,4.127,0.417,11.156,nan,nan,nan,nan,1,0,0,0
12,91,WISEA J220836.49-281651.5,332.144167,-28.267222,4857.0,785.746,2.829,0.437,11.682,nan,nan,nan,nan,1,0,0,0
13,91,WISEA J220813.38-272252.5,332.055833,-27.381667,4857.0,746.232,2.686,0.331,8.862,nan,nan,nan,nan,1,0,0,0
14,91,APMUKS(BJ) B220922.77-280636.6,333.027083,-27.856111,4857.0,1046.252,3.766,0.295,7.898,nan,nan,8.844,nan,1,0,0,0
