,HCG,Name,RA,Dec,Vsys,M_type,T_type,sep_kpc,sep_norm,e_sepnorm,D25_am,D25_kpc,flux,logMHIobs,e_logMHIobs,logMHIexp,e_logMHIexp,defHI,e_defHI,OPT_HI,zflag,HIflag,MHIlim_flag,gmag,e_gmag,rmag,e_rmag,Btot,logLB,logMs,e_logMs
0,91,WISEA J220943.70-273554.8,332.432250,-27.598920,7072.0,S0,-2,372.256,1.121,0.16643329573147417,0.115,3.083,0.061,8.088,0.061,9.235,0.221,1.147,0.22937574836985772,2,1,1,0,18.740,0.062,18.106,0.045,18.513,8.475,8.935,0.094
1,91,ESO 467- G 016,332.459250,-27.535610,7372.0,Sa,1,479.041,1.443,0.21417595049862317,0.268,7.172,2.126,9.628,0.061,9.296,0.57,-0.332,0.573299427821302,2,1,1,0,14.861,0.003,14.229,0.002,14.633,10.026,10.515,0.011
2,91,ESO 467- G 014,332.309430,-27.403220,7112.5,SBc,5,627.332,1.889,0.28047603152975664,0.360,9.625,3.031,9.782,0.061,9.001,0.38,-0.781,0.38493146654986815,2,1,1,0,15.897,0.008,15.669,0.009,15.512,9.675,9.339,0.018
3,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
4,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
5,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
6,91,ESO 467- G 003,331.560830,-27.958390,6975.0,SBbc,4,1068.219,3.217,0.4775935795421068,nan,nan,4.270,9.931,0.061,nan,0.221,nan,0.22937574836985772,2,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan
7,91,ESO 467- G 005,331.641250,-27.991580,6868.5,Sb,3,973.991,2.933,0.4354645900489337,0.334,8.945,2.104,9.624,0.061,9.240,0.38,-0.384,0.38493146654986815,2,1,1,0,15.465,0.006,14.951,0.004,15.192,9.803,10.046,0.013
8,91,ESO 532- G 023,332.404500,-27.246500,7235.0,SBbc,4,893.383,2.690,0.3994254164778153,0.345,9.228,3.126,9.795,0.061,9.331,0.38,-0.465,0.3849314665498682,2,1,1,0,15.192,0.006,14.678,0.005,14.918,9.912,10.206,0.013
9,91,WISEA J221035.73-271456.0,332.648750,-27.248970,7180.0,S0,-2,1012.728,3.050,0.45278383090559854,0.128,3.437,0.202,8.605,0.061,8.361,0.57,-0.244,0.573299427821302,2,1,1,0,16.961,0.013,16.566,0.473,16.641,9.223,9.250,0.578
10,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
11,91,WISEA J221040.40-274144.2,332.668250,-27.695730,6814.0,Sd,7,560.064,1.687,0.2504006127034137,0.133,3.557,0.590,9.071,0.061,9.055,0.285,-0.016,0.2915428509503059,1,0,1,0,18.351,0.028,17.944,0.020,18.036,8.665,8.718,0.043
12,91,WISEA J220659.01-271620.4,331.746220,-27.271770,6931.0,Im,10,1140.728,3.435,0.5100116965934042,nan,nan,0.517,9.014,0.061,nan,0.221,nan,0.22937574836985772,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan
13,91,WISEA J220836.49-281651.5,332.152140,-28.280910,6966.0,Im,10,806.594,2.429,0.360622745190736,nan,nan,0.448,8.952,0.061,nan,0.221,nan,0.22937574836985772,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan
14,91,WISEA J220813.38-272252.5,332.055770,-27.381640,7265.0,S0,-2,740.596,2.230,0.33111538314734706,nan,nan,0.165,8.518,0.061,nan,0.221,nan,0.22937574836985772,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan
15,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
16,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
17,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
18,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
19,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
20,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
21,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
